"Fecha","InicioSintomas","Reporte"
2020-01-08,1,NA
2020-01-09,0,NA
2020-01-10,0,NA
2020-01-11,0,NA
2020-01-12,0,NA
2020-01-13,0,NA
2020-01-14,1,NA
2020-01-15,0,NA
2020-01-16,0,NA
2020-01-17,1,NA
2020-01-18,0,NA
2020-01-19,0,NA
2020-01-20,0,NA
2020-01-21,0,NA
2020-01-22,0,NA
2020-01-23,0,NA
2020-01-24,0,NA
2020-01-25,0,NA
2020-01-26,0,NA
2020-01-27,0,NA
2020-01-28,1,NA
2020-01-29,1,NA
2020-01-30,0,NA
2020-01-31,0,NA
2020-02-01,0,NA
2020-02-02,0,NA
2020-02-03,0,NA
2020-02-04,0,NA
2020-02-05,0,NA
2020-02-06,1,NA
2020-02-07,0,NA
2020-02-08,0,NA
2020-02-09,0,NA
2020-02-10,0,NA
2020-02-11,0,NA
2020-02-12,0,NA
2020-02-13,0,NA
2020-02-14,0,NA
2020-02-15,0,NA
2020-02-16,0,NA
2020-02-17,0,NA
2020-02-18,0,NA
2020-02-19,1,NA
2020-02-20,0,NA
2020-02-21,1,NA
2020-02-22,2,NA
2020-02-23,1,NA
2020-02-24,0,NA
2020-02-25,1,NA
2020-02-26,1,NA
2020-02-27,2,NA
2020-02-28,2,3
2020-02-29,2,1
2020-03-01,6,1
2020-03-02,9,0
2020-03-03,6,0
2020-03-04,7,0
2020-03-05,7,0
2020-03-06,10,1
2020-03-07,21,1
2020-03-08,21,0
2020-03-09,62,0
2020-03-10,50,0
2020-03-11,51,4
2020-03-12,58,4
2020-03-13,86,11
2020-03-14,92,15
2020-03-15,99,12
2020-03-16,132,29
2020-03-17,108,11
2020-03-18,124,25
2020-03-19,109,46
2020-03-20,182,39
2020-03-21,126,48
2020-03-22,139,65
2020-03-23,222,51
2020-03-24,179,38
2020-03-25,207,70
2020-03-26,244,110
2020-03-27,282,132
2020-03-28,266,131
2020-03-29,260,145
2020-03-30,378,101
2020-03-31,308,121
2020-04-01,453,163
2020-04-02,428,132
2020-04-03,439,178
2020-04-04,443,202
2020-04-05,417,253
2020-04-06,565,296
2020-04-07,490,346
2020-04-08,606,396
2020-04-09,606,260
2020-04-10,940,403
2020-04-11,704,375
2020-04-12,748,442
2020-04-13,932,353
2020-04-14,884,385
2020-04-15,1016,448
2020-04-16,1007,450
2020-04-17,1131,578
2020-04-18,1235,622
2020-04-19,1106,764
2020-04-20,1781,511
2020-04-21,1156,729
2020-04-22,1194,1043
2020-04-23,1268,1089
2020-04-24,1492,1239
2020-04-25,1522,970
2020-04-26,1377,835
2020-04-27,1659,852
2020-04-28,1471,1223
2020-04-29,1317,1047
2020-04-30,1802,1425
2020-05-01,2401,1515
2020-05-02,1739,1349
2020-05-03,1662,1383
2020-05-04,2087,1434
2020-05-05,2048,1120
2020-05-06,1834,1609
2020-05-07,2042,1982
2020-05-08,2321,1906
2020-05-09,2034,1938
2020-05-10,2556,1562
2020-05-11,2302,1305
2020-05-12,1935,1997
2020-05-13,1816,1862
2020-05-14,1702,2409
2020-05-15,2208,2437
2020-05-16,1594,2112
2020-05-17,1353,2075
2020-05-18,1413,2414
2020-05-19,890,2713
2020-05-20,658,2248
2020-05-21,283,2973
2020-05-22,137,2960
2020-05-23,29,3329
2020-05-24,1,2764
2020-05-25,1,2485
