"Fecha","InicioSintomas","Reporte"
2020-01-13,1,NA
2020-01-14,1,NA
2020-01-15,0,NA
2020-01-16,0,NA
2020-01-17,1,NA
2020-01-18,0,NA
2020-01-19,0,NA
2020-01-20,0,NA
2020-01-21,0,NA
2020-01-22,0,NA
2020-01-23,0,NA
2020-01-24,0,NA
2020-01-25,0,NA
2020-01-26,0,NA
2020-01-27,0,NA
2020-01-28,1,NA
2020-01-29,1,NA
2020-01-30,0,NA
2020-01-31,0,NA
2020-02-01,0,NA
2020-02-02,0,NA
2020-02-03,0,NA
2020-02-04,0,NA
2020-02-05,0,NA
2020-02-06,1,NA
2020-02-07,1,NA
2020-02-08,0,NA
2020-02-09,0,NA
2020-02-10,0,NA
2020-02-11,0,NA
2020-02-12,0,NA
2020-02-13,0,NA
2020-02-14,0,NA
2020-02-15,0,NA
2020-02-16,0,NA
2020-02-17,0,NA
2020-02-18,0,NA
2020-02-19,1,NA
2020-02-20,0,NA
2020-02-21,1,NA
2020-02-22,2,NA
2020-02-23,1,NA
2020-02-24,0,NA
2020-02-25,1,NA
2020-02-26,1,NA
2020-02-27,2,NA
2020-02-28,2,3
2020-02-29,2,1
2020-03-01,6,1
2020-03-02,9,0
2020-03-03,6,0
2020-03-04,7,0
2020-03-05,7,0
2020-03-06,10,1
2020-03-07,21,1
2020-03-08,21,0
2020-03-09,61,0
2020-03-10,50,0
2020-03-11,51,4
2020-03-12,58,4
2020-03-13,85,11
2020-03-14,92,15
2020-03-15,99,12
2020-03-16,132,29
2020-03-17,108,11
2020-03-18,124,25
2020-03-19,110,46
2020-03-20,182,39
2020-03-21,128,48
2020-03-22,140,65
2020-03-23,222,51
2020-03-24,180,38
2020-03-25,208,70
2020-03-26,246,110
2020-03-27,285,132
2020-03-28,269,131
2020-03-29,260,145
2020-03-30,381,101
2020-03-31,309,121
2020-04-01,455,163
2020-04-02,433,132
2020-04-03,439,178
2020-04-04,445,202
2020-04-05,423,253
2020-04-06,567,296
2020-04-07,495,346
2020-04-08,613,396
2020-04-09,609,260
2020-04-10,948,403
2020-04-11,707,375
2020-04-12,764,442
2020-04-13,949,353
2020-04-14,892,385
2020-04-15,1024,448
2020-04-16,1012,450
2020-04-17,1141,578
2020-04-18,1243,622
2020-04-19,1129,764
2020-04-20,1791,511
2020-04-21,1182,729
2020-04-22,1224,1043
2020-04-23,1281,1089
2020-04-24,1523,1239
2020-04-25,1567,970
2020-04-26,1402,835
2020-04-27,1697,852
2020-04-28,1513,1223
2020-04-29,1368,1047
2020-04-30,1867,1425
2020-05-01,2525,1515
2020-05-02,1820,1349
2020-05-03,1739,1383
2020-05-04,2208,1434
2020-05-05,2197,1120
2020-05-06,1974,1609
2020-05-07,2206,1982
2020-05-08,2541,1906
2020-05-09,2241,1938
2020-05-10,2975,1562
2020-05-11,2775,1305
2020-05-12,2512,1997
2020-05-13,2436,1862
2020-05-14,2446,2409
2020-05-15,3494,2437
2020-05-16,2665,2112
2020-05-17,2621,2075
2020-05-18,3640,2414
2020-05-19,2901,2713
2020-05-20,3924,2248
2020-05-21,2602,2973
2020-05-22,3326,2960
2020-05-23,3116,3329
2020-05-24,2918,2764
2020-05-25,4072,2485
2020-05-26,2933,3455
2020-05-27,2736,3463
2020-05-28,2873,3377
2020-05-29,2792,3227
2020-05-30,2415,2885
2020-05-31,2025,3152
2020-06-01,2574,2771
2020-06-02,1352,3891
2020-06-03,960,3912
2020-06-04,583,4442
2020-06-05,374,4346
2020-06-06,143,3593
2020-06-07,67,3484
2020-06-08,10,2999
2020-06-09,0,4199
